concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b
camping,wordnet_noun,1,4.0,4.0,4.0,5.33,4,8.0,,,,
campion,wordnet_noun,1,2.72,2.72,,,1,11.0,,,,
campsite,wordnet_noun,1,3.09,3.09,4.55,7.11,1,8.0,,,,
campus,wordnet_noun,1,4.51,4.51,4.64,10.84,1,8.0,,,,
camshaft,wordnet_noun,1,2.47,2.47,,14.22,1,9.0,,,,
can,wordnet_noun,1,6.46,6.46,4.55,4.32,8,8.0,,,,
canal,wordnet_noun,1,4.22,4.22,4.68,7.61,4,7.0,,,,
canard,wordnet_noun,1,2.43,2.43,,15.25,1,7.0,,,,
canary,wordnet_noun,1,3.44,3.44,4.63,7.32,5,13.0,,,,
cancel,wordnet_noun,1,4.18,4.18,2.41,7.89,6,7.0,,,,
cancellation,wordnet_noun,1,3.76,3.76,2.1,10.05,2,9.0,,,,
cancer,wordnet_noun,1,4.93,4.93,3.86,8.39,5,12.0,,,,
candela,wordnet_noun,1,2.19,2.19,,,1,8.0,,,,
candelabra,wordnet_noun,1,2.45,2.45,4.88,,2,10.0,,,,
candida,wordnet_noun,1,2.85,2.85,,,1,7.0,,,,
candidacy,wordnet_noun,1,3.41,3.41,2.39,12.29,1,10.0,,,,
candidate,wordnet_noun,1,4.66,4.66,3.81,10.39,2,9.0,,,,
candidature,wordnet_noun,1,2.31,2.31,,,1,10.0,,,,
candidiasis,wordnet_noun,1,2.06,2.06,,,1,8.0,,,,
candle,wordnet_noun,1,3.88,3.88,4.86,5.37,3,9.0,,,,
candlelight,wordnet_noun,1,3.01,3.01,4.48,7.0,1,11.0,,,,
candlestick,wordnet_noun,1,2.79,2.79,4.93,5.61,1,9.0,,,,
candor,wordnet_noun,1,2.8,2.8,1.96,11.93,2,7.0,,,,
candour,wordnet_noun,1,2.46,2.46,,,2,7.0,,,,
candy,wordnet_noun,1,4.29,4.29,4.83,4.0,2,8.0,,,,
cane,wordnet_noun,1,3.76,3.76,4.87,5.74,4,10.0,,,,
canfield,wordnet_noun,1,2.68,2.68,,,1,9.0,,,,
canine,wordnet_noun,1,3.33,3.33,4.71,8.45,4,12.0,,,,
caning,wordnet_noun,1,2.35,2.35,,,4,8.0,,,,
canister,wordnet_noun,1,3.09,3.09,4.93,8.83,2,8.0,,,,
canker,wordnet_noun,1,2.38,2.38,,10.44,5,11.0,,,,
canna,wordnet_noun,1,2.49,2.49,,,1,9.0,,,,
cannabis,wordnet_noun,1,4.03,4.03,4.69,13.33,2,10.0,,,,
cannery,wordnet_noun,1,2.58,2.58,3.88,11.15,1,9.0,,,,
cannibal,wordnet_noun,1,3.05,3.05,3.82,9.11,1,9.0,,,,
cannibalism,wordnet_noun,1,3.01,3.01,3.07,12.26,1,7.0,,,,
cannon,wordnet_noun,1,4.02,4.02,4.79,7.9,8,10.0,,,,
cannonball,wordnet_noun,1,2.87,2.87,4.8,6.39,1,10.0,,,,
cannula,wordnet_noun,1,2.45,2.45,,,1,9.0,,,,
canoe,wordnet_noun,1,3.5,3.5,4.86,6.63,2,12.0,,,,
canola,wordnet_noun,1,2.74,2.74,4.11,12.68,1,14.0,,,,
canon,wordnet_noun,1,4.11,4.11,4.56,9.78,6,11.0,,,,
canonization,wordnet_noun,1,2.5,2.5,1.74,,1,9.0,,,,
canopy,wordnet_noun,1,3.52,3.52,4.52,9.82,4,8.0,,,,
cant,wordnet_noun,1,4.35,4.35,2.05,,6,8.0,,,,
cantaloupe,wordnet_noun,1,2.53,2.53,4.76,7.22,2,12.0,,,,
cantata,wordnet_noun,1,2.44,2.44,,14.33,1,7.0,,,,
canteen,wordnet_noun,1,3.17,3.17,4.88,9.035165,5,10.0,,,,
canter,wordnet_noun,1,2.72,2.72,3.42,,4,10.0,,,,
canticle,wordnet_noun,1,2.11,2.11,,,1,9.0,,,,
cantilever,wordnet_noun,1,2.72,2.72,,15.2,3,10.0,,,,
canto,wordnet_noun,1,2.81,2.81,,13.64,2,8.0,,,,
canton,wordnet_noun,1,3.55,3.55,,,4,9.0,,,,
cantonment,wordnet_noun,1,2.38,2.38,,,1,9.0,,,,
cantor,wordnet_noun,1,3.14,3.14,,,2,10.0,,,,
canvas,wordnet_noun,1,3.96,3.96,4.78,8.15,10,10.0,,,,
canvass,wordnet_noun,1,2.81,2.81,4.08,11.33,20,10.0,,,,
canvassing,wordnet_noun,1,2.88,2.88,,,4,7.0,,,,
canyon,wordnet_noun,1,3.96,3.96,4.81,8.39,1,7.0,,,,
cap,wordnet_noun,1,4.51,4.51,4.59,5.53,11,12.0,,,,
capability,wordnet_noun,1,4.07,4.07,1.93,9.4,3,6.0,,,,
capacitance,wordnet_noun,1,2.86,2.86,,15.0,2,8.0,,,,
capacitor,wordnet_noun,1,3.17,3.17,3.96,12.07,1,8.0,,,,
capacity,wordnet_noun,1,4.71,4.71,3.1,9.83,9,11.0,,,,
cape,wordnet_noun,1,4.3,4.3,4.77,6.903765000000001,2,11.0,,,,
caper,wordnet_noun,1,2.86,2.86,3.74,12.41,7,12.0,,,,
capillary,wordnet_noun,1,2.88,2.88,4.29,13.17,4,9.0,,,,
